product_category_name_english,revenue,items_sold,orders
health_beauty,1233131.72,9465,8647
watches_gifts,1166176.98,5859,5495
bed_bath_table,1023434.76,10953,9272
sports_leisure,954852.55,8431,7530
computers_accessories,888724.61,7644,6530
furniture_decor,711927.6900000001,8160,6307
housewares,615628.69,6795,5743
cool_stuff,610204.1,3718,3559
auto,578966.65,4140,3810
toys,471286.48,4030,3804
garden_tools,470495.27999999997,4268,3448
baby,400421.84,2982,2809
perfumery,390144.65,3340,3086
telephony,309860.23,4430,4093
office_furniture,268154.31,1668,1254
stationery,223788.69,2466,2264
computers,218684.14,199,177
pet_shop,211695.64,1924,1688
musical_instruments,184315.74,651,611
small_appliances,182754.12,658,609
,175967.21,1559,1412
electronics,155043.93,2729,2517
fashion_bags_accessories,149329.39,1985,1820
consoles_games,148003.37,1089,1018
construction_tools_construction,142108.49,916,736
luggage_accessories,138701.63,1077,1019
home_appliances_2,107953.95,231,227
home_construction,81407.57,596,483
home_appliances,78832.48,754,747
agro_industry_and_commerce,70566.1,206,177
furniture_living_room,67350.7,495,414
home_confort,58008.450000000004,429,392
fixed_telephony,55315.21,255,212
air_conditioning,53323.56,289,246
audio,50570.6,362,348
small_appliances_home_oven_and_coffee,46589.56,73,72
kitchen_dining_laundry_garden_furniture,45531.98,274,241
books_general_interest,45302.15,537,496
construction_tools_lights,39957.0,301,242
construction_tools_safety,38773.22,183,159
industry_commerce_and_business,38498.81,265,232
food,28731.15,499,441
market_place,27795.77,305,274
costruction_tools_garden,25096.28,232,190
art,23657.3,197,195
fashion_shoes,23001.46,257,235
drinks,21529.84,361,287
signaling_and_security,21315.05,197,138
furniture_bedroom,19051.8,103,90
books_technical,18702.23,263,256
costruction_tools_tools,15903.95,103,97
food_drink,14942.88,269,221
fashion_male_clothing,10452.33,125,106
fashion_underwear_beach,9305.95,127,117
christmas_supplies,8737.84,150,125
tablets_printing_image,7528.41,83,79
cine_photo,6674.47,70,63
music,6034.35,38,38
dvds_blu_ray,4542.59,61,56
party_supplies,4465.1900000000005,42,38
books_imported,4418.86,57,50
furniture_mattress_and_upholstery,4323.38,37,37
fashio_female_clothing,2634.94,45,36
fashion_sport,2094.52,29,26
la_cuisine,2054.99,14,13
arts_and_craftmanship,1814.01,24,23
diapers_and_hygiene,1500.79,37,25
flowers,1110.04,33,29
home_comfort_2,760.27,30,24
cds_dvds_musicals,730.0,14,12
fashion_childrens_clothes,519.95,7,7
security_and_services,283.28999999999996,2,2
